Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",CP_Elec_3x5.3,2,C_1u,
C2,CP_Elec_6.3x3.9,1,C_100n,
C4,CP_Elec_6.3x3.9,1,C_200n,
C5,CP_Elec_6.3x4.5,1,C_100n,
"C6, C7",CP_Elec_3x5.3,2,C_100u,
"C8, C9",CP_Elec_3x5.3,2,C_150u,
"D1, D2, D3, D4",D_DO-201AD_P15.24mm_Horizontal,4,1N5400,
"D5, D6",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N4001,
J1,PinHeader_1x02_P1.27mm_Vertical_SMD_Pin1Left,1,Conn_01x02_Female,
J2,BarrelJack_CUI_PJ-036AH-SMT_Horizontal,1,5v,
J3,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Uyarma sargısı bağlantısı,
J4,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Algılama sargısı bağlantısı,
J5,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Opsiyonel güç girişi,
J6,BarrelJack_CLIFF_FC681465S_SMT_Horizontal,1,Opsiyonel sinyal çıkışı ,
"Q1, Q2, Q3, Q4",TO254P1016X419X2286-3,4,IRFZ44N,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,R_1k,
"R2, R3, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,R_10k,
"R5, R6, R7",R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,3,R_72k,
"SW1, SW2, SW3, SW4",SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,4,SW_DIP_x01,
"SW5, SW6",SW_Push_2P1T_Toggle_CK_PVA1xxH3xxxxxxV2,2,Bypass anahtarı,
U1,Texas_S-PVSON-N10,1,TS3A24159DRCR,
U2,SO-16_3.9x9.9mm_P1.27mm,1,LT1492,
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,HIP4082xB,
U4,TSSOP-24_4.4x7.8mm_P0.65mm,1,MSP430AFE233IPW,
U5,RPi_Pico_SMD_TH,1,Pico,
U6,SO-8_3.9x4.9mm_P1.27mm,1,LTC660,
U7,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
Y1,01005,1,Crystal,
