Comment,Designator,Footprint,LCSC
TP2311,"U12,U2,U9",SOT-23-5,C116439
R_1k,"R2,R3,R8,R9",R_0402_1005Metric,C11702
C_100u,"C6,C7",C_1206_3216Metric,C15008
C_1.1nf,"C1,C24,C3",C_0402_1005Metric,C1523
C_100n,"C2,C25,C5",C_0402_1005Metric,C1525
C_18p,"C10,C11",C_0402_1005Metric,C1549
C_10u,C9,C_0402_1005Metric,C15525
R_0,"R16,R17",R_1206_3216Metric,C17888
R_10,"R10,R11",R_1206_3216Metric,C17903
AP2300,"Q1,Q2,Q3,Q4",TSOT-23,C20917
1N4148WS,"D5,D6,D7",D_SOD-323,C2128
R_100k,"R1,R18,R5",R_0402_1005Metric,C25741
R_10k,"R14,R15,R4",R_0402_1005Metric,C25744
R_200k,"R13,R6",R_0402_1005Metric,C25764
R_47k,R12,R_0402_1005Metric,C25792
R_56k,R7,R_0402_1005Metric,C25796
SN74LVC1G3157DCKR,U1,Texas_R-PDSO-G6,C38663
C_1u,"C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C26,C4,C8",C_0402_1005Metric,C52923
AMS1117-3.3V,U7,SOT-223-3_TabPin2,C6186
1N4007,"D1,D2,D3,D4",D_SOD-123F,C64898
MSP430AFE253IPW,U4,TSSOP-24_4.4x7.8mm_P0.65mm,C79303
Crystal_GND23_Small,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
AN431,"U10,U11",SOT-23,C97718
Conn_01x02_Female,J1,PinHeader_1x02_P2.54mm_Vertical,
LP1111SOF,U8,SOP-8_3.9x4.9mm_P1.27mm,
Algılama sargısı girişi,J3,USB_Micro-B_Molex-105017-0001,
Jack-DC,J4,BarrelJack_GCT_DCJ200-10-A_Horizontal,
Jack-DC,J2,BarrelJack_GCT_DCJ200-10-A_Horizontal,
ME7660C,U6,SOP-8_3.9x4.9mm_P1.27mm,
LP1111SOF,U3,SOP-8_3.9x4.9mm_P1.27mm,
power,J5,PinHeader_1x02_P2.54mm_Vertical,
JTAG-SBW,J7,PinHeader_1x06_P2.54mm_Vertical,
Pico,U5,RPi_Pico_SMD_TH,
